"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42291","2100.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42293","2400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42295","2700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42315","2900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42297","3000.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42298","3300.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42299","3600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42300","3900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42845","400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42301","500.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42282","600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42302","700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42283","800.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42303","900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42262","1000.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42308","1100.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42263","1200.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42309","1300.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42310","1400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42264","1500.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42265","1600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42266","1700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42267","1800.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42269","2100.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42271","2400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42273","2700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42311","2900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42275","3000.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42276","3300.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42277","3600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42278","3900.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42844","400.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42279","500.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42260","600.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42280","700.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42261","800.0"
"100.0","19.0","mm","Haab 19x100 SMM","Haab 19x100 SMM","Haab 19x100 SMM","0.0","0.0","0.0","","","","42281","900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42345","1000.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42356","1100.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42346","1200.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42357","1300.0"
