"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22772","3000.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22773","1800.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22774","1950.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22775","2100.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22776","2250.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22777","2400.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22778","2550.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22779","2700.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22780","2850.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22781","3000.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22755","1800.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22756","1950.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22757","2100.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22758","2250.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22759","2400.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22760","2550.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22761","2700.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22762","2850.0"
"75.0","16.0","mm","Haab 16x75 S4S","Haab 16x75 S4S","Haab 16x75 S4S","0.0","0.0","0.0","","","","22763","3000.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","40940","1200.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39863","1500.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39875","1800.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39887","2100.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","41951","2300.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39899","2400.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39911","2700.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39923","3000.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39935","3600.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39941","3900.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","40941","1200.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39864","1500.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39876","1800.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39888","2100.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","41952","2300.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39900","2400.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39912","2700.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39924","3000.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39936","3600.0"
"100.0","18.0","mm","Haab 18x100 S4S","Haab 18x100 S4S","Haab 18x100 S4S","0.0","0.0","0.0","","","","39942","3900.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41667","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41669","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41671","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41673","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41675","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41677","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41679","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41681","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41683","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41668","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41670","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41672","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41674","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41676","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41678","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41680","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41682","0.0"
"128.0","18.0","mm","Haab 18x128 S4S","Haab 18x128 S4S","Haab 18x128 S4S","0.0","0.0","0.0","","","","41684","0.0"
"130.0","18.0","mm","Haab 18x130 S4S","Haab 18x130 S4S","Haab 18x130 S4S","0.0","0.0","0.0","","","","41958","1800.0"
"130.0","18.0","mm","Haab 18x130 S4S","Haab 18x130 S4S","Haab 18x130 S4S","0.0","0.0","0.0","","","","41960","2100.0"
"130.0","18.0","mm","Haab 18x130 S4S","Haab 18x130 S4S","Haab 18x130 S4S","0.0","0.0","0.0","","","","41964","2400.0"
"74.0","18.0","mm","Haab 18x74 S4S","Haab 18x74 S4S","Haab 18x74 S4S","0.0","0.0","0.0","","","","41186","2100.0"
"74.0","18.0","mm","Haab 18x74 S4S","Haab 18x74 S4S","Haab 18x74 S4S","0.0","0.0","0.0","","","","41187","2400.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41649","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41651","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41653","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41655","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41657","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41659","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41661","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41663","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41665","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41650","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41652","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41654","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41656","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41658","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41660","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41662","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41664","0.0"
"98.0","18.0","mm","Haab 18x98 S4S","Haab 18x98 S4S","Haab 18x98 S4S","0.0","0.0","0.0","","","","41666","0.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18885","1000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18886","1200.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18887","1500.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18888","1650.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18889","1800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18890","1950.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18891","2100.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18892","2250.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18893","2400.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18894","2550.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18895","2700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18896","2850.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18897","3000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18898","3300.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18899","3600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18900","3900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18883","600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18901","700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18884","800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18902","900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18905","1000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18906","1200.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18907","1500.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18908","1650.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18909","1800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18910","1950.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18911","2100.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18912","2250.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18913","2400.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18914","2550.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18915","2700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18916","2850.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18917","3000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18918","3300.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18919","3600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18920","3900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18903","600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18921","700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18904","800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18922","900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18925","1000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18926","1200.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18927","1500.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18928","1650.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18929","1800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18930","1950.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18931","2100.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18932","2250.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18933","2400.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18934","2550.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18935","2700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18936","2850.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18937","3000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18938","3300.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18939","3600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18940","3900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18923","600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18941","700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18924","800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18942","900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18865","1000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18866","1200.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18867","1500.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18868","1650.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18869","1800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18870","1950.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18871","2100.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18872","2250.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18873","2400.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18874","2550.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18875","2700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18876","2850.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18877","3000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18878","3300.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18879","3600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18880","3900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18863","600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18881","700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18864","800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18882","900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18945","1000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18946","1200.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18947","1500.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18948","1650.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18949","1800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18950","1950.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18951","2100.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18952","2250.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18953","2400.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18954","2550.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18955","2700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18956","2850.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18957","3000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18958","3300.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18959","3600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18960","3900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18943","600.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18961","700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18944","800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18962","900.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18965","1000.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18966","1200.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18967","1500.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18968","1650.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18969","1800.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18970","1950.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18971","2100.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18972","2250.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18973","2400.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18974","2550.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18975","2700.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18976","2850.0"
"100.0","19.0","mm","Haab 19x100 S4S","Haab 19x100 S4S","Haab 19x100 S4S","0.0","0.0","0.0","","","","18977","3000.0"
